Time,C6_avg,psi6,V,S-2,S-1,S0
124.9999,5.54667,0.99478,4.0,1.0,2.0,2.0
129.9999,5.54667,0.99378,4.0,1.0,2.0,2.0
134.9999,5.54667,0.99509,4.0,1.0,2.0,2.0
139.9999,5.54667,0.99361,4.0,1.0,2.0,2.0
144.9999,5.54667,0.99336,4.0,1.0,2.0,2.0
149.9999,5.54667,0.9953,4.0,1.0,2.0,2.0
154.9999,5.54667,0.99345,4.0,1.0,2.0,2.0
159.9999,5.54667,0.99614,4.0,1.0,2.0,2.0
164.9999,5.54667,0.99195,4.0,1.0,2.0,2.0
169.9999,5.54667,0.99587,4.0,1.0,2.0,2.0
174.9999,5.54667,0.99553,4.0,1.0,2.0,2.0
179.9999,5.54667,0.9964,4.0,2.0,2.0,2.0
184.9999,5.54667,0.99428,4.0,2.0,2.0,2.0
189.9999,5.54667,0.9944,4.0,2.0,2.0,2.0
194.9999,5.54667,0.99457,4.0,2.0,2.0,2.0
199.9999,5.54667,0.99476,4.0,2.0,2.0,2.0
204.9999,5.54667,0.99511,4.0,2.0,2.0,2.0
209.9999,5.54667,0.99475,4.0,2.0,2.0,2.0
214.9999,5.54667,0.99544,4.0,2.0,2.0,2.0
219.9999,5.54667,0.99494,4.0,2.0,2.0,2.0
224.9999,5.54667,0.99282,4.0,2.0,2.0,2.0
229.9999,5.54667,0.99263,4.0,2.0,2.0,2.0
234.9999,5.54667,0.99398,4.0,2.0,2.0,2.0
239.9999,5.54667,0.98965,4.0,2.0,2.0,2.0
244.9999,5.54667,0.9940000000000001,4.0,2.0,2.0,2.0
249.9999,5.54667,0.99273,4.0,2.0,2.0,2.0
254.9999,5.54667,0.99598,4.0,2.0,2.0,2.0
259.9999,5.54667,0.99407,4.0,2.0,2.0,2.0
264.9999,5.54667,0.99506,4.0,2.0,2.0,2.0
269.9999,5.54667,0.99228,4.0,2.0,2.0,2.0
274.9999,5.54667,0.99293,4.0,2.0,2.0,2.0
279.9999,5.54667,0.99615,4.0,2.0,2.0,2.0
284.9999,5.54667,0.99368,4.0,2.0,2.0,2.0
289.9999,5.54667,0.99514,4.0,2.0,2.0,2.0
