,S-1,S-2,S-3,S-4,V
475,1.0,1.0,1.0,1.0,3.0
476,1.0,1.0,0.0,1.0,3.0
477,1.0,1.0,1.0,1.0,3.0
478,1.0,1.0,1.0,1.0,3.0
479,1.0,1.0,1.0,1.0,3.0
480,1.0,1.0,1.0,1.0,3.0
481,0.0,1.0,1.0,1.0,3.0
482,0.0,0.0,1.0,1.0,3.0
483,0.0,0.0,0.0,1.0,3.0
484,0.0,0.0,0.0,0.0,3.0
485,0.0,0.0,0.0,0.0,3.0
486,1.0,1.0,0.0,0.0,3.0
487,1.0,1.0,1.0,1.0,3.0
488,1.0,1.0,1.0,1.0,3.0
489,1.0,1.0,1.0,1.0,3.0
490,1.0,0.0,1.0,1.0,3.0
491,1.0,0.0,1.0,0.0,3.0
492,1.0,1.0,0.0,1.0,3.0
493,1.0,1.0,1.0,0.0,3.0
494,0.0,0.0,0.0,0.0,1.0
495,0.0,0.0,0.0,0.0,1.0
496,0.0,0.0,0.0,0.0,1.0
497,0.0,0.0,0.0,0.0,1.0
498,0.0,0.0,0.0,0.0,1.0
499,0.0,0.0,0.0,0.0,1.0
500,0.0,0.0,0.0,0.0,1.0
501,0.0,0.0,0.0,0.0,1.0
502,0.0,0.0,0.0,0.0,1.0
503,0.0,0.0,0.0,0.0,1.0
504,0.0,0.0,0.0,0.0,1.0
505,0.0,0.0,0.0,0.0,1.0
506,0.0,0.0,0.0,0.0,1.0
507,0.0,0.0,0.0,0.0,1.0
508,0.0,0.0,0.0,0.0,1.0
509,0.0,0.0,0.0,0.0,1.0
510,0.0,0.0,0.0,0.0,1.0
511,0.0,0.0,0.0,0.0,1.0
512,0.0,0.0,0.0,0.0,1.0
513,0.0,0.0,0.0,0.0,1.0
514,0.0,0.0,0.0,0.0,1.0
515,0.0,0.0,0.0,0.0,1.0
516,0.0,0.0,0.0,0.0,1.0
517,0.0,0.0,0.0,0.0,1.0
518,0.0,0.0,0.0,0.0,1.0
519,0.0,0.0,0.0,0.0,3.0
520,0.0,0.0,0.0,0.0,3.0
521,0.0,0.0,0.0,0.0,3.0
522,0.0,0.0,0.0,0.0,3.0
523,0.0,0.0,0.0,0.0,3.0
524,0.0,0.0,0.0,0.0,3.0
525,0.0,0.0,0.0,0.0,3.0
526,1.0,0.0,0.0,0.0,3.0
527,1.0,1.0,0.0,0.0,3.0
528,1.0,1.0,1.0,0.0,3.0
529,1.0,1.0,1.0,1.0,3.0
530,1.0,1.0,1.0,1.0,3.0
531,1.0,1.0,1.0,1.0,3.0
532,1.0,1.0,1.0,1.0,3.0
533,1.0,1.0,1.0,1.0,3.0
534,1.0,1.0,1.0,1.0,3.0
535,1.0,1.0,1.0,1.0,3.0
536,0.0,0.0,1.0,1.0,3.0
537,0.0,0.0,0.0,1.0,3.0
538,1.0,1.0,0.0,0.0,3.0
539,1.0,1.0,1.0,1.0,3.0
540,1.0,1.0,1.0,1.0,3.0
541,1.0,1.0,1.0,1.0,3.0
542,1.0,1.0,1.0,1.0,3.0
543,1.0,1.0,1.0,1.0,3.0
544,1.0,1.0,1.0,1.0,3.0
545,1.0,1.0,1.0,1.0,3.0
546,1.0,1.0,1.0,1.0,3.0
547,1.0,1.0,1.0,1.0,3.0
548,1.0,1.0,1.0,1.0,3.0
549,1.0,1.0,1.0,1.0,3.0
550,1.0,1.0,1.0,1.0,3.0
551,1.0,1.0,1.0,1.0,3.0
552,1.0,1.0,1.0,1.0,3.0
553,0.0,1.0,1.0,1.0,3.0
554,1.0,1.0,0.0,1.0,3.0
555,1.0,1.0,1.0,0.0,3.0
556,1.0,1.0,1.0,1.0,3.0
557,1.0,1.0,1.0,1.0,3.0
558,1.0,1.0,1.0,1.0,3.0
559,1.0,1.0,1.0,1.0,3.0
560,1.0,1.0,1.0,1.0,3.0
561,1.0,1.0,1.0,1.0,3.0
562,1.0,1.0,1.0,1.0,3.0
563,1.0,1.0,1.0,1.0,3.0
564,1.0,1.0,1.0,1.0,3.0
565,1.0,1.0,1.0,1.0,3.0
566,0.0,1.0,1.0,1.0,3.0
567,0.0,0.0,1.0,1.0,3.0
568,0.0,0.0,0.0,1.0,3.0
569,0.0,0.0,0.0,0.0,3.0
570,1.0,0.0,0.0,0.0,3.0
571,0.0,1.0,0.0,0.0,3.0
572,1.0,0.0,1.0,0.0,3.0
573,0.0,0.0,0.0,0.0,2.0
574,0.0,0.0,0.0,0.0,2.0
575,0.0,0.0,0.0,0.0,2.0
576,0.0,0.0,0.0,0.0,2.0
577,0.0,0.0,0.0,0.0,2.0
578,0.0,0.0,0.0,0.0,2.0
579,0.0,0.0,0.0,0.0,2.0
580,0.0,0.0,0.0,0.0,2.0
581,0.0,0.0,0.0,0.0,2.0
582,0.0,0.0,0.0,0.0,2.0
583,0.0,0.0,0.0,0.0,2.0
584,0.0,0.0,0.0,0.0,2.0
585,0.0,0.0,0.0,0.0,2.0
586,0.0,0.0,0.0,0.0,2.0
587,0.0,0.0,0.0,0.0,2.0
588,0.0,0.0,0.0,0.0,2.0
589,0.0,0.0,0.0,0.0,2.0
590,0.0,0.0,0.0,0.0,2.0
591,0.0,0.0,0.0,0.0,2.0
592,0.0,0.0,0.0,0.0,2.0
593,0.0,0.0,0.0,0.0,2.0
594,0.0,0.0,0.0,0.0,2.0
595,0.0,0.0,0.0,0.0,2.0
596,0.0,0.0,0.0,0.0,2.0
597,0.0,0.0,0.0,0.0,2.0
598,0.0,0.0,0.0,0.0,2.0
599,0.0,0.0,0.0,0.0,2.0
600,0.0,0.0,0.0,0.0,2.0
601,0.0,0.0,0.0,0.0,2.0
602,0.0,0.0,0.0,0.0,2.0
603,0.0,0.0,0.0,0.0,2.0
604,0.0,0.0,0.0,0.0,2.0
605,0.0,0.0,0.0,0.0,2.0
606,0.0,0.0,0.0,0.0,3.0
607,0.0,0.0,0.0,0.0,3.0
608,0.0,0.0,0.0,0.0,3.0
609,0.0,0.0,0.0,0.0,3.0
610,0.0,0.0,0.0,0.0,3.0
611,0.0,0.0,0.0,0.0,3.0
612,0.0,0.0,0.0,0.0,3.0
613,0.0,0.0,0.0,0.0,3.0
614,0.0,0.0,0.0,0.0,3.0
615,0.0,0.0,0.0,0.0,3.0
616,1.0,1.0,0.0,0.0,3.0
617,1.0,1.0,1.0,0.0,3.0
618,1.0,1.0,1.0,1.0,3.0
619,1.0,1.0,1.0,1.0,3.0
620,1.0,1.0,1.0,1.0,3.0
621,1.0,1.0,1.0,1.0,3.0
622,1.0,1.0,1.0,1.0,3.0
623,1.0,1.0,1.0,1.0,3.0
624,1.0,1.0,1.0,1.0,3.0
625,1.0,1.0,1.0,1.0,3.0
626,1.0,1.0,1.0,1.0,3.0
627,1.0,1.0,1.0,1.0,3.0
628,1.0,1.0,1.0,1.0,3.0
629,1.0,1.0,1.0,1.0,3.0
630,1.0,1.0,1.0,1.0,3.0
